title,project,rent_or_sale,price,bedrooms,bathrooms,size_sqft,tag,rental_demand_score,target_tenant_type,agent_name,agent_whatsapp,source_url
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1800,1,1,635,investment,1,China Owner,Agent S03-001,60120003001,https://propertyguru.com.my/listing/forest-city-s03-1
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2250,3,2,1293,owner_management,2,China Owner,Agent S03-002,60120003002,https://propertyguru.com.my/listing/forest-city-s03-2
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2650,1,1,671,family,2,China Owner,Agent S03-003,60120003003,https://propertyguru.com.my/listing/forest-city-s03-3
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3100,3,2,1329,commuter,1,China Owner,Agent S03-004,60120003004,https://propertyguru.com.my/listing/forest-city-s03-4
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,3500,1,1,707,investment,2,China Owner,Agent S03-005,60120003005,https://propertyguru.com.my/listing/forest-city-s03-5
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,1800,3,2,1365,owner_management,2,China Owner,Agent S03-006,60120003006,https://propertyguru.com.my/listing/forest-city-s03-6
Starview Bay 1-Bedroom — Forest City,Forest City,rent,2250,1,1,743,family,1,China Owner,Agent S03-007,60120003007,https://propertyguru.com.my/listing/forest-city-s03-7
Golf Suite 3-Bedroom — Forest City,Forest City,rent,2650,3,2,1275,commuter,2,China Owner,Agent S03-008,60120003008,https://propertyguru.com.my/listing/forest-city-s03-8
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,3100,1,1,653,investment,2,China Owner,Agent S03-009,60120003009,https://propertyguru.com.my/listing/forest-city-s03-9
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1311,owner_management,1,China Owner,Agent S03-010,60120003010,https://propertyguru.com.my/listing/forest-city-s03-10
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1800,1,1,689,family,2,China Owner,Agent S03-011,60120003011,https://propertyguru.com.my/listing/forest-city-s03-11
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2250,3,2,1347,commuter,2,China Owner,Agent S03-012,60120003012,https://propertyguru.com.my/listing/forest-city-s03-12
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2650,1,1,725,investment,1,China Owner,Agent S03-013,60120003013,https://propertyguru.com.my/listing/forest-city-s03-13
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3100,3,2,1383,owner_management,2,China Owner,Agent S03-014,60120003014,https://propertyguru.com.my/listing/forest-city-s03-14
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,3500,1,1,635,family,2,China Owner,Agent S03-015,60120003015,https://propertyguru.com.my/listing/forest-city-s03-15
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,1800,3,2,1293,commuter,1,China Owner,Agent S03-016,60120003016,https://propertyguru.com.my/listing/forest-city-s03-16
Starview Bay 1-Bedroom — Forest City,Forest City,rent,2250,1,1,671,investment,2,China Owner,Agent S03-017,60120003017,https://propertyguru.com.my/listing/forest-city-s03-17
Golf Suite 3-Bedroom — Forest City,Forest City,rent,2650,3,2,1329,owner_management,2,China Owner,Agent S03-018,60120003018,https://propertyguru.com.my/listing/forest-city-s03-18
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,3100,1,1,707,family,1,China Owner,Agent S03-019,60120003019,https://propertyguru.com.my/listing/forest-city-s03-19
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1365,commuter,2,China Owner,Agent S03-020,60120003020,https://propertyguru.com.my/listing/forest-city-s03-20
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1800,1,1,743,investment,2,China Owner,Agent S03-021,60120003021,https://propertyguru.com.my/listing/forest-city-s03-21
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2250,3,2,1275,owner_management,1,China Owner,Agent S03-022,60120003022,https://propertyguru.com.my/listing/forest-city-s03-22
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2650,1,1,653,family,2,China Owner,Agent S03-023,60120003023,https://propertyguru.com.my/listing/forest-city-s03-23
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3100,3,2,1311,commuter,2,China Owner,Agent S03-024,60120003024,https://propertyguru.com.my/listing/forest-city-s03-24
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,3500,1,1,689,investment,1,China Owner,Agent S03-025,60120003025,https://propertyguru.com.my/listing/forest-city-s03-25
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,1800,3,2,1347,owner_management,2,China Owner,Agent S03-026,60120003026,https://propertyguru.com.my/listing/forest-city-s03-26
Starview Bay 1-Bedroom — Forest City,Forest City,rent,2250,1,1,725,family,2,China Owner,Agent S03-027,60120003027,https://propertyguru.com.my/listing/forest-city-s03-27
Golf Suite 3-Bedroom — Forest City,Forest City,rent,2650,3,2,1383,commuter,1,China Owner,Agent S03-028,60120003028,https://propertyguru.com.my/listing/forest-city-s03-28
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,3100,1,1,635,investment,2,China Owner,Agent S03-029,60120003029,https://propertyguru.com.my/listing/forest-city-s03-29
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1293,owner_management,2,China Owner,Agent S03-030,60120003030,https://propertyguru.com.my/listing/forest-city-s03-30
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1800,1,1,671,family,1,China Owner,Agent S03-031,60120003031,https://propertyguru.com.my/listing/forest-city-s03-31
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2250,3,2,1329,commuter,2,China Owner,Agent S03-032,60120003032,https://propertyguru.com.my/listing/forest-city-s03-32
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2650,1,1,707,investment,2,China Owner,Agent S03-033,60120003033,https://propertyguru.com.my/listing/forest-city-s03-33
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3100,3,2,1365,owner_management,1,China Owner,Agent S03-034,60120003034,https://propertyguru.com.my/listing/forest-city-s03-34
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,3500,1,1,743,family,2,China Owner,Agent S03-035,60120003035,https://propertyguru.com.my/listing/forest-city-s03-35
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,1800,3,2,1275,commuter,2,China Owner,Agent S03-036,60120003036,https://propertyguru.com.my/listing/forest-city-s03-36
Starview Bay 1-Bedroom — Forest City,Forest City,rent,2250,1,1,653,investment,1,China Owner,Agent S03-037,60120003037,https://propertyguru.com.my/listing/forest-city-s03-37
Golf Suite 3-Bedroom — Forest City,Forest City,rent,2650,3,2,1311,owner_management,2,China Owner,Agent S03-038,60120003038,https://propertyguru.com.my/listing/forest-city-s03-38
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,3100,1,1,689,family,2,China Owner,Agent S03-039,60120003039,https://propertyguru.com.my/listing/forest-city-s03-39
