title,project,listing_type,property_type,bedrooms,bathrooms,size_sqft,price,price_label,currency,image_url,description,is_featured,status,locale
Phoenix Tower 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,650,1720,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 001 — R&F. WA: 60120001001. URL: https://iproperty.com.my/listing/forest-city-1,true,published,en
Starview Bay 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,970,1840,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 002 — Danga. WA: 60120001002. URL: https://edgeprop.com.my/listing/forest-city-2,false,published,en
Marina Residences 3-Bedroom For Sale,Forest City,sale,3-Bedroom Apartment,3,2,1345,395000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 003 — Forest. WA: 60120001003. URL: https://propertyguru.com.my/listing/forest-city-3,false,published,en
Golf Suite Studio For Rent,Forest City,rent,Studio,0,1,520,2080,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 004 — R&F. WA: 60120001004. URL: https://iproperty.com.my/listing/forest-city-4,false,published,en
Cerulean Bay 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,710,2200,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 005 — Danga. WA: 60120001005. URL: https://edgeprop.com.my/listing/forest-city-5,false,published,en
Phoenix Tower 2-Bedroom For Sale,Forest City,sale,2-Bedroom Apartment,2,2,1030,470000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 006 — Forest. WA: 60120001006. URL: https://propertyguru.com.my/listing/forest-city-6,false,published,en
Starview Bay 3-Bedroom For Rent,Forest City,rent,3-Bedroom Apartment,3,2,1405,2440,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 007 — R&F. WA: 60120001007. URL: https://iproperty.com.my/listing/forest-city-7,false,published,en
Marina Residences Studio For Rent,Forest City,rent,Studio,0,1,460,2560,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 008 — Danga. WA: 60120001008. URL: https://edgeprop.com.my/listing/forest-city-8,false,published,en
Golf Suite 1-Bedroom For Sale,Forest City,sale,1-Bedroom Apartment,1,1,650,545000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 009 — Forest. WA: 60120001009. URL: https://propertyguru.com.my/listing/forest-city-9,true,published,en
Cerulean Bay 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,970,2800,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 010 — R&F. WA: 60120001010. URL: https://iproperty.com.my/listing/forest-city-10,false,published,en
Phoenix Tower 3-Bedroom For Rent,Forest City,rent,3-Bedroom Apartment,3,2,1345,2920,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 011 — Danga. WA: 60120001011. URL: https://edgeprop.com.my/listing/forest-city-11,false,published,en
Starview Bay Studio For Sale,Forest City,sale,Studio,0,1,520,620000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 012 — Forest. WA: 60120001012. URL: https://propertyguru.com.my/listing/forest-city-12,false,published,en
Marina Residences 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,710,3160,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 013 — R&F. WA: 60120001013. URL: https://iproperty.com.my/listing/forest-city-13,false,published,en
