prospect_id,project,tower,unit_type,bedrooms,owner_location,language,contact_channel,contact_handle,outreach_status,priority_score,source,notes
OWNER-20260620-001,Forest City,Phoenix Tower,Studio,0,China — Guangdong,ZH,WeChat,wx_fc_rf_1,not_contacted,1,Facebook Group,High intent — responded to FB post
OWNER-20260620-002,Forest City,Cerulean Bay,1-Bed,1,China — Shanghai,ZH,WhatsApp,pending_2,not_contacted,2,WeChat Community,Prospect identified — not contacted
OWNER-20260620-003,Forest City,Starview Bay,2-Bed,2,China — Beijing,ZH,Facebook DM,fb_prospect_3,not_contacted,3,Agent co-broke,Prospect identified — not contacted
OWNER-20260620-004,Forest City,Golf Suite,3-Bed,3,China — Shenzhen,ZH,Agent referral,TBD,not_contacted,4,Listing portal,Prospect identified — not contacted
OWNER-20260620-005,Forest City,Marina Hotel,Studio,0,China — Fujian,ZH,Group intro,TBD,not_contacted,5,Owner submission,High intent — responded to FB post
OWNER-20260620-006,Forest City,Phoenix Tower,1-Bed,1,Hong Kong,ZH,Listing inquiry,TBD,not_contacted,1,Referral,Prospect identified — not contacted
OWNER-20260620-007,Forest City,Cerulean Bay,2-Bed,2,Singapore,EN,Forum,TBD,not_contacted,2,Facebook Group,Prospect identified — not contacted
OWNER-20260620-008,Forest City,Starview Bay,3-Bed,3,Malaysia — JB,ZH/EN,WeChat,wx_fc_rf_8,not_contacted,3,WeChat Community,Vacant unit — inspection upsell
OWNER-20260620-009,Forest City,Golf Suite,Studio,0,Malaysia — KL,ZH/EN,WhatsApp,pending_9,not_contacted,4,Agent co-broke,High intent — responded to FB post
OWNER-20260620-010,Forest City,Marina Hotel,1-Bed,1,Taiwan,ZH,Facebook DM,fb_prospect_10,not_contacted,5,Listing portal,Prospect identified — not contacted
OWNER-20260620-011,Forest City,Phoenix Tower,2-Bed,2,China — Zhejiang,ZH,Agent referral,TBD,not_contacted,1,Owner submission,Prospect identified — not contacted
OWNER-20260620-012,Forest City,Cerulean Bay,3-Bed,3,China — Jiangsu,ZH,Group intro,TBD,not_contacted,2,Referral,Prospect identified — not contacted
OWNER-20260620-013,Forest City,Starview Bay,Studio,0,China — Guangdong,ZH,Listing inquiry,TBD,not_contacted,3,Facebook Group,High intent — responded to FB post
OWNER-20260620-014,Forest City,Golf Suite,1-Bed,1,China — Shanghai,ZH,Forum,TBD,not_contacted,4,WeChat Community,Prospect identified — not contacted
OWNER-20260620-015,Forest City,Marina Hotel,2-Bed,2,China — Beijing,ZH,WeChat,wx_fc_rf_15,not_contacted,5,Agent co-broke,Vacant unit — inspection upsell
OWNER-20260620-016,Forest City,Phoenix Tower,3-Bed,3,China — Shenzhen,ZH,WhatsApp,pending_16,not_contacted,1,Listing portal,Prospect identified — not contacted
OWNER-20260620-017,Forest City,Cerulean Bay,Studio,0,China — Fujian,ZH,Facebook DM,fb_prospect_17,not_contacted,2,Owner submission,High intent — responded to FB post
OWNER-20260620-018,Forest City,Starview Bay,1-Bed,1,Hong Kong,ZH,Agent referral,TBD,not_contacted,3,Referral,Prospect identified — not contacted
OWNER-20260620-019,Forest City,Golf Suite,2-Bed,2,Singapore,EN,Group intro,TBD,not_contacted,4,Facebook Group,Prospect identified — not contacted
OWNER-20260620-020,Forest City,Marina Hotel,3-Bed,3,Malaysia — JB,ZH/EN,Listing inquiry,TBD,not_contacted,5,WeChat Community,Prospect identified — not contacted
OWNER-20260620-021,Forest City,Phoenix Tower,Studio,0,Malaysia — KL,ZH/EN,Forum,TBD,not_contacted,1,Agent co-broke,High intent — responded to FB post
OWNER-20260620-022,Forest City,Cerulean Bay,1-Bed,1,Taiwan,ZH,WeChat,wx_fc_rf_22,not_contacted,2,Listing portal,Vacant unit — inspection upsell
OWNER-20260620-023,Forest City,Starview Bay,2-Bed,2,China — Zhejiang,ZH,WhatsApp,pending_23,not_contacted,3,Owner submission,Prospect identified — not contacted
OWNER-20260620-024,Forest City,Golf Suite,3-Bed,3,China — Jiangsu,ZH,Facebook DM,fb_prospect_24,not_contacted,4,Referral,Prospect identified — not contacted
OWNER-20260620-025,Forest City,Marina Hotel,Studio,0,China — Guangdong,ZH,Agent referral,TBD,not_contacted,5,Facebook Group,High intent — responded to FB post
OWNER-20260620-026,Forest City,Phoenix Tower,1-Bed,1,China — Shanghai,ZH,Group intro,TBD,not_contacted,1,WeChat Community,Prospect identified — not contacted
OWNER-20260620-027,Forest City,Cerulean Bay,2-Bed,2,China — Beijing,ZH,Listing inquiry,TBD,not_contacted,2,Agent co-broke,Prospect identified — not contacted
OWNER-20260620-028,Forest City,Starview Bay,3-Bed,3,China — Shenzhen,ZH,Forum,TBD,not_contacted,3,Listing portal,Prospect identified — not contacted
OWNER-20260620-029,Forest City,Golf Suite,Studio,0,China — Fujian,ZH,WeChat,wx_fc_rf_29,not_contacted,4,Owner submission,High intent — responded to FB post
OWNER-20260620-030,Forest City,Marina Hotel,1-Bed,1,Hong Kong,ZH,WhatsApp,pending_30,not_contacted,5,Referral,Prospect identified — not contacted
OWNER-20260620-031,Forest City,Phoenix Tower,2-Bed,2,Singapore,EN,Facebook DM,fb_prospect_31,not_contacted,1,Facebook Group,Prospect identified — not contacted
OWNER-20260620-032,Forest City,Cerulean Bay,3-Bed,3,Malaysia — JB,ZH/EN,Agent referral,TBD,not_contacted,2,WeChat Community,Prospect identified — not contacted
OWNER-20260620-033,Forest City,Starview Bay,Studio,0,Malaysia — KL,ZH/EN,Group intro,TBD,not_contacted,3,Agent co-broke,High intent — responded to FB post
OWNER-20260620-034,Forest City,Golf Suite,1-Bed,1,Taiwan,ZH,Listing inquiry,TBD,not_contacted,4,Listing portal,Prospect identified — not contacted
OWNER-20260620-035,Forest City,Marina Hotel,2-Bed,2,China — Zhejiang,ZH,Forum,TBD,not_contacted,5,Owner submission,Prospect identified — not contacted
OWNER-20260620-036,Forest City,Phoenix Tower,3-Bed,3,China — Jiangsu,ZH,WeChat,wx_fc_rf_36,not_contacted,1,Referral,Vacant unit — inspection upsell
OWNER-20260620-037,Forest City,Cerulean Bay,Studio,0,China — Guangdong,ZH,WhatsApp,pending_37,not_contacted,2,Facebook Group,High intent — responded to FB post
OWNER-20260620-038,Forest City,Starview Bay,1-Bed,1,China — Shanghai,ZH,Facebook DM,fb_prospect_38,not_contacted,3,WeChat Community,Prospect identified — not contacted
OWNER-20260620-039,Forest City,Golf Suite,2-Bed,2,China — Beijing,ZH,Agent referral,TBD,not_contacted,4,Agent co-broke,Prospect identified — not contacted
OWNER-20260620-040,Forest City,Marina Hotel,3-Bed,3,China — Shenzhen,ZH,Group intro,TBD,not_contacted,5,Listing portal,Prospect identified — not contacted
